method,seed,test_fold,reported_mcc,oracle_mcc,gap,cal_method,calibrated_mcc,oracle_recovery
E4.1_cic_ids2018,0,lycos_ids2017,0.08449133266620709,0.1862112818020128,0.1017199491358057,topk10,0.09733238300921887,0.1262392524977354
E4.1_cic_ids2018,0,lycos_ids2017,0.08449133266620709,0.1862112818020128,0.1017199491358057,topk20,-0.06798055249117617,-1.4989378824189041
E4.1_cic_ids2018,0,lycos_ids2017,0.08449133266620709,0.1862112818020128,0.1017199491358057,topk30,-0.18233157979606807,-2.623112916681088
E4.1_cic_ids2018,0,lycos_ids2017,0.08449133266620709,0.1862112818020128,0.1017199491358057,topk40,-0.2852205077165581,-3.634605045753268
E4.1_cic_ids2018,0,lycos_ids2017,0.08449133266620709,0.1862112818020128,0.1017199491358057,prevalence_transfer,-0.11646451236471592,-1.9755794879785875
B4_raw,2,lycos_ids2017,0.0,0.5451317867178533,0.5451317867178533,otsu,-0.0007189237648938321,-0.0013188072726823563
B4_raw,2,lycos_ids2017,0.0,0.5451317867178533,0.5451317867178533,gmm,0.02235458921505403,0.041007678803041826
B4_raw,2,lycos_ids2017,0.0,0.5451317867178533,0.5451317867178533,topk10,0.24106420135202247,0.44221270383704725
B4_raw,2,lycos_ids2017,0.0,0.5451317867178533,0.5451317867178533,topk20,0.3183103714760637,0.5839145308193397
B4_raw,2,lycos_ids2017,0.0,0.5451317867178533,0.5451317867178533,topk30,0.4692872863602487,0.8608694223937084
B4_raw,2,lycos_ids2017,0.0,0.5451317867178533,0.5451317867178533,topk40,0.5434927196013591,0.9969932644611265
B4_raw,2,lycos_ids2017,0.0,0.5451317867178533,0.5451317867178533,prevalence_transfer,0.40328996623047514,0.7398026973598735
E3.B,1,lycos_ids2017,-0.2423509065948972,0.0,0.2423509065948972,otsu,-0.2345912774428971,0.032018156073873254
E3.B,1,lycos_ids2017,-0.2423509065948972,0.0,0.2423509065948972,gmm,-0.19724999598911006,0.18609755267462555
E3.B,1,lycos_ids2017,-0.2423509065948972,0.0,0.2423509065948972,topk10,-0.18712495658902845,0.22787597860395853
E3.B,1,lycos_ids2017,-0.2423509065948972,0.0,0.2423509065948972,topk20,-0.2535037760039362,-0.04601950768718038
E3.B,1,lycos_ids2017,-0.2423509065948972,0.0,0.2423509065948972,topk30,-0.28629797040866034,-0.18133649438837493
E3.B,1,lycos_ids2017,-0.2423509065948972,0.0,0.2423509065948972,topk40,-0.2127650980056748,0.1220783904005636
E3.B,1,lycos_ids2017,-0.2423509065948972,0.0,0.2423509065948972,prevalence_transfer,-0.27709142025275724,-0.1433479830794721
E1.E,1,cic_ids2018,0.14984457189540065,0.5041056051225347,0.354261033227134,otsu,0.15433614999281045,0.012678724658181723
E1.E,1,cic_ids2018,0.14984457189540065,0.5041056051225347,0.354261033227134,gmm,0.2607491385007141,0.3130588921819327
E1.E,1,cic_ids2018,0.14984457189540065,0.5041056051225347,0.354261033227134,topk10,0.25097878123780554,0.28547934956640525
E1.E,1,cic_ids2018,0.14984457189540065,0.5041056051225347,0.354261033227134,topk20,0.15267811481596943,0.00799846061181688
E1.E,1,cic_ids2018,0.14984457189540065,0.5041056051225347,0.354261033227134,topk30,0.473615405473965,0.9139329568063986
E1.E,1,cic_ids2018,0.14984457189540065,0.5041056051225347,0.354261033227134,topk40,0.43148685828700617,0.7950134504661451
E1.E,1,cic_ids2018,0.14984457189540065,0.5041056051225347,0.354261033227134,prevalence_transfer,0.2276009937546059,0.2194890619238719
